image_id,method,n_steps,generated_text,avg_n_above_apc,avg_expert_entropy,avg_amateur_entropy,avg_cd_prob_shift,avg_logit_diff_top1
724,greedy,143," The image features a stop sign with the word ""STOP"" written upside down. The stop sign is located on a street corner, and there are several vehicles around it. A truck is parked nearby, and a car is ",,1.1999811979541664,,,
724,vcd,116," The image features a red stop sign on a metal pole at an intersection. The stop sign is upside down, making it an unusual sight. The intersection is located near a street with several vehicles, inclu",2.913793103448276,1.320768900578622,1.301058222353462,0.3348281918554872,0.10257273706896551
724,sid,122," The image features a stop sign with the word ""doli"" written on it, located at an intersection in a city. The stop sign is positioned on a metal pole, and it is surrounded by bushes and trees. There a",2.5737704918032787,1.3211220349676807,1.281053672532563,0.39261410237930644,0.21305071721311475
776,greedy,104," The image features a group of teddy bears sitting together on a bed. There are five teddy bears in total, with one large teddy bear occupying the left side of the bed, and four smaller teddy bears su",,1.0242221999700605,,,
776,vcd,97," The image features a group of five teddy bears of various sizes and colors, sitting together on a bed. They are arranged in a semi-circle, with some bears positioned closer to the foreground and othe",2.4948453608247423,1.1587533999783064,1.172079882577426,0.33244531138259065,0.2931701030927835
776,sid,89," The image features a group of five teddy bears sitting together on a bed. They are arranged in a pile, with some of the teddy bears appearing to be cuddling or hugging each other. The teddy bears are",2.50561797752809,1.1874535417334842,1.1381383309840263,0.3520987377852682,-0.021155196629213485
1425,greedy,132," The image features a delicious-looking pastry, possibly a donut or a sandwich, sitting on a white plate. The pastry is placed on a dining table, and it appears to be the main focus of the scene. 

In",,1.1264066677127702,,,
1425,vcd,110," The image features a delicious pastry, possibly a chocolate-filled doughnut, sitting on a white plate. The plate is placed on a wooden dining table. Beside the plate, there is a bowl containing a dip",2.290909090909091,1.0711196418027416,1.108539595959667,0.3226909726311428,0.4921164772727273
1425,sid,116," The image features a dining table with a plate containing a delicious pastry, possibly a chocolate-filled doughnut or a sandwich, sitting on top of it. The plate is placed on a white plate, which is ",2.293103448275862,1.177288432107726,1.1725322784070626,0.36300149590852426,0.18446928879310345
1584,greedy,123," The image features a red double-decker bus driving down a city street, surrounded by tall buildings. The bus is quite large and occupies a significant portion of the scene. There are several people w",,1.0130767331926855,,,
1584,vcd,136," The image features a busy city street with two red double-decker buses driving down the road. One of the buses is a classic red double-decker bus, while the other is a modern double-decker bus. Both ",2.1691176470588234,1.043682468845493,1.0343668755754953,0.29018234706657603,0.06881893382352941
1584,sid,130, The image features a busy city street with a red double-decker bus driving down the road. The bus is quite large and occupies a significant portion of the scene. There are several other vehicles on t,2.0307692307692307,1.0150420926287216,0.9930542210946123,0.3091388736340252,0.033052884615384616
2261,greedy,108," The image captures a young man riding a wave on a surfboard in the ocean. He is skillfully balancing on the surfboard, enjoying the thrill of the wave. The surfer is positioned in the center of the s",,1.227263229351908,,,
2261,vcd,85," The image captures a young man riding a wave on a surfboard in the ocean. He is skillfully balancing on the surfboard, enjoying the thrill of the water. The wave is quite large, and the surfer is pos",2.4,1.155668977683207,1.129098926899955,0.3126661595642655,-0.04797794117647059
